UNIX TIME,TIME,LAT,LONG,ALT,DIST,HR,CAD,TEMP,POWER
1656568800,2022-06-30T06:00:00Z,20.561520,-75.217185,143.084,0,0,0,No Data,No Data
1656568806,2022-06-30T06:00:06Z,20.561498,-75.217344,139.516,0,0168464,0,0,No Data,No Data
1656568813,2022-06-30T06:00:13Z,20.561422,-75.217504,135.361,0,0355809,0,0,No Data,No Data
1656568823,2022-06-30T06:00:23Z,20.561349,-75.217763,119.82,0,0638519,0,0,No Data,No Data
1656568832,2022-06-30T06:00:32Z,20.561301,-75.217994,107.233,0,0885737,0,0,No Data,No Data
1656568838,2022-06-30T06:00:38Z,20.561280,-75.218163,100.396,0,1063742,0,0,No Data,No Data
1656568846,2022-06-30T06:00:46Z,20.561231,-75.218365,92.603,0,128174,0,0,No Data,No Data
1656568855,2022-06-30T06:00:55Z,20.561239,-75.218608,84.081,0,1536087,0,0,No Data,No Data
1656568865,2022-06-30T06:01:05Z,20.561220,-75.218878,71.464,0,1819312,0,0,No Data,No Data
1656568876,2022-06-30T06:01:16Z,20.561228,-75.219154,63.094,0,2107583,0,0,No Data,No Data
1656568882,2022-06-30T06:01:22Z,20.561233,-75.219317,58.043,0,2277675,0,0,No Data,No Data
1656568887,2022-06-30T06:01:27Z,20.561265,-75.219449,53.752,0,2420478,0,0,No Data,No Data
1656568892,2022-06-30T06:01:32Z,20.561268,-75.219580,50.23,0,2557373,0,0,No Data,No Data
1656568899,2022-06-30T06:01:39Z,20.561274,-75.219772,45.826,0,2758178,0,0,No Data,No Data
1656568904,2022-06-30T06:01:44Z,20.561306,-75.219902,44.423,0,2898498,0,0,No Data,No Data
1656568911,2022-06-30T06:01:51Z,20.561311,-75.220088,42.893,0,3092982,0,0,No Data,No Data
1656568917,2022-06-30T06:01:57Z,20.561315,-75.220241,41.961,0,3253375,0,0,No Data,No Data
1656568923,2022-06-30T06:02:03Z,20.561319,-75.220391,41.956,0,3410584,0,0,No Data,No Data
1656568927,2022-06-30T06:02:07Z,20.561322,-75.220511,42.204,0,3536428,0,0,No Data,No Data
1656568933,2022-06-30T06:02:13Z,20.561326,-75.220661,44.24,0,3693537,0,0,No Data,No Data
1656568939,2022-06-30T06:02:19Z,20.561331,-75.220812,46.997,0,3851354,0,0,No Data,No Data
1656568944,2022-06-30T06:02:24Z,20.561335,-75.220960,50.07,0,4005871,0,0,No Data,No Data
1656568948,2022-06-30T06:02:28Z,20.561338,-75.221074,52.5,0,4125241,0,0,No Data,No Data
1656568953,2022-06-30T06:02:33Z,20.561340,-75.221188,54.937,0,4244796,0,0,No Data,No Data
1656568957,2022-06-30T06:02:37Z,20.561371,-75.221302,57.839,0,4369083,0,0,No Data,No Data
1656568963,2022-06-30T06:02:43Z,20.561403,-75.221452,61.187,0,452972,0,0,No Data,No Data
1656568968,2022-06-30T06:02:48Z,20.561461,-75.221571,63.983,0,467067,0,0,No Data,No Data
1656568973,2022-06-30T06:02:53Z,20.561492,-75.221691,66.966,0,4800753,0,0,No Data,No Data
1656568978,2022-06-30T06:02:58Z,20.561551,-75.221809,71.073,0,494097,0,0,No Data,No Data
1656568984,2022-06-30T06:03:04Z,20.561638,-75.221960,78.066,0,5126447,0,0,No Data,No Data
1656568991,2022-06-30T06:03:11Z,20.561697,-75.222118,72.44,0,5304422,0,0,No Data,No Data
1656568997,2022-06-30T06:03:17Z,20.561785,-75.222250,65.278,0,5473536,0,0,No Data,No Data
1656569002,2022-06-30T06:03:22Z,20.561871,-75.222349,59.416,0,5615036,0,0,No Data,No Data
1656569008,2022-06-30T06:03:28Z,20.561958,-75.222481,52.958,0,5784582,0,0,No Data,No Data
1656569012,2022-06-30T06:03:32Z,20.562044,-75.222548,52.874,0,5903945,0,0,No Data,No Data
1656569017,2022-06-30T06:03:37Z,20.562156,-75.222583,54.481,0,6034845,0,0,No Data,No Data
1656569022,2022-06-30T06:03:42Z,20.562270,-75.222652,56.643,0,6181484,0,0,No Data,No Data
1656569027,2022-06-30T06:03:47Z,20.562383,-75.222690,60.467,0,6314109,0,0,No Data,No Data
1656569032,2022-06-30T06:03:52Z,20.562496,-75.222728,64.409,0,6446931,0,0,No Data,No Data
1656569037,2022-06-30T06:03:57Z,20.562610,-75.222766,64.916,0,6580144,0,0,No Data,No Data
1656569044,2022-06-30T06:04:04Z,20.562780,-75.222809,65.676,0,6774976,0,0,No Data,No Data
1656569051,2022-06-30T06:04:11Z,20.562949,-75.222822,66.86,0,6964572,0,0,No Data,No Data
1656569057,2022-06-30T06:04:17Z,20.563118,-75.222803,68.315,0,7154772,0,0,No Data,No Data
1656569063,2022-06-30T06:04:23Z,20.563259,-75.222782,69.463,0,7314289,0,0,No Data,No Data
1656569068,2022-06-30T06:04:28Z,20.563372,-75.222759,69.743,0,744319,0,0,No Data,No Data
1656569071,2022-06-30T06:04:31Z,20.563458,-75.222767,69.15,0,7539936,0,0,No Data,No Data
