type	latitude	longitude	altitude (m)	slope (%)	distance (km)	distance_interval (m)	name	desc
T	20.561520438	-75.217185310	143.1		0.000		Sagua de Tánamo	DEM de los alrededores de Sagua de Tánamo.
T	20.561498513	-75.217344980	139.5	-21.2	0.017	16.83		
T	20.561422251	-75.217504493	135.4	-22.3	0.035	18.65		
T	20.561349055	-75.217763787	119.8	-55.1	0.064	28.23		
T	20.561301972	-75.217994791	107.2	-51.1	0.088	24.64		
T	20.561280094	-75.218163301	100.4	-38.5	0.106	17.74		
T	20.561231848	-75.218365716	92.6	-35.8	0.128	21.77		
T	20.561239543	-75.218608839	84.1	-33.6	0.153	25.37		
T	20.561220366	-75.218878982	71.5	-44.7	0.181	28.25		
T	20.561228828	-75.219154392	63.1	-29.1	0.210	28.73		
T	20.561233600	-75.219317070	58.0	-29.8	0.227	16.97		
T	20.561265141	-75.219449625	53.8	-30.1	0.241	14.26		
T	20.561268994	-75.219580260	50.2	-25.8	0.255	13.63		
T	20.561274559	-75.219772517	45.8	-22.0	0.275	20.06		
T	20.561306024	-75.219902201	44.4	-10.0	0.289	13.96		
T	20.561311249	-75.220088492	42.9	-7.9	0.309	19.43		
T	20.561315519	-75.220241799	42.0	-5.8	0.325	15.99		
T	20.561319598	-75.220391740	42.0	-0.0	0.340	15.64		
T	20.561322860	-75.220511661	42.2	2.0	0.353	12.51		
T	20.561326954	-75.220661633	44.2	13.0	0.368	15.64		
T	20.561331073	-75.220812305	47.0	17.5	0.384	15.72		
T	20.561335040	-75.220960170	50.1	19.9	0.399	15.42		
T	20.561338006	-75.221074472	52.5	20.4	0.411	11.92		
T	20.561340968	-75.221188651	54.9	20.5	0.423	11.91		
T	20.561371534	-75.221302383	57.8	23.5	0.436	12.33		
T	20.561403228	-75.221452211	61.2	20.9	0.452	16.01		
T	20.561461732	-75.221571789	64.0	19.9	0.466	14.05		
T	20.561492588	-75.221691148	67.0	23.1	0.479	12.91		
T	20.561551024	-75.221809829	71.1	29.4	0.493	13.96		
T	20.561638063	-75.221960708	78.1	37.9	0.511	18.45		
T	20.561697973	-75.222118270	72.4	-31.8	0.529	17.72		
T	20.561785153	-75.222250125	65.3	-42.6	0.546	16.80		
T	20.561871455	-75.222349506	59.4	-41.6	0.560	14.10		
T	20.561958940	-75.222481796	53.0	-38.3	0.576	16.85		
T	20.562044455	-75.222548725	52.9	-0.7	0.588	11.76		
T	20.562156822	-75.222583372	54.5	12.4	0.601	12.95		
T	20.562270591	-75.222652364	56.6	14.9	0.616	14.51		
T	20.562383600	-75.222690320	60.5	29.1	0.629	13.12		
T	20.562496780	-75.222728331	64.4	30.0	0.642	13.14		
T	20.562610127	-75.222766397	64.9	3.9	0.655	13.16		
T	20.562780212	-75.222809449	65.7	3.9	0.674	19.36		
T	20.562949864	-75.222822042	66.9	6.3	0.693	18.83		
T	20.563118933	-75.222803173	68.3	7.7	0.712	18.82		
T	20.563259950	-75.222782161	69.5	7.3	0.728	15.77		
T	20.563372918	-75.222759890	69.7	2.2	0.741	12.72		
T	20.563458568	-75.222767093	69.2	-6.2	0.750	9.51		
T	20.563685571	-75.222723627	67.2	-7.7	0.776	25.54		
T	20.563771026	-75.222701200	66.0	-12.1	0.785	9.75		
T	20.563885465	-75.222681619	64.5	-11.9	0.798	12.83		
T	20.563968586	-75.222593400	65.3	6.4	0.811	13.01		
T	20.564142817	-75.222612882	62.0	-17.3	0.831	19.40		
T	20.564374741	-75.222606271	62.5	1.9	0.856	25.69		
T	20.564578107	-75.222623361	64.9	10.8	0.879	22.59		
T	20.564752281	-75.222635724	67.5	13.6	0.898	19.33		
T	20.564985167	-75.222652253	67.5	0.0	0.924	25.84		
T	20.565192028	-75.222674784	66.0	-6.7	0.947	23.02		
T	20.565311042	-75.222689098	65.0	-7.2	0.960	13.26		
T	20.565490103	-75.222710630	63.4	-8.2	0.980	19.95		
T	20.565668763	-75.222700412	61.6	-9.1	1.000	19.81		
T	20.565847103	-75.222658556	59.8	-8.9	1.020	20.22		
T	20.566027254	-75.222648784	57.5	-11.7	1.040	19.97		
T	20.566268855	-75.222646415	53.6	-14.6	1.067	26.75		
T	20.566510085	-75.222610764	50.8	-10.1	1.094	26.96		
T	20.566811900	-75.222548062	50.8	-0.2	1.128	34.05		
T	20.567022190	-75.222472708	51.7	3.7	1.153	24.57		
T	20.567233817	-75.222428183	50.2	-6.2	1.177	23.89		
T	20.567387017	-75.222442412	49.5	-4.2	1.194	17.03		
T	20.567507692	-75.222419272	49.1	-3.2	1.207	13.58		
T	20.567659079	-75.222398325	50.1	6.4	1.224	16.90		
T	20.567840344	-75.222347391	51.8	7.9	1.245	20.76		
